,aspect_ratio,fluxinit,lnprob,rotation_angle,size,xcenter,ycenter
0,0.479899081252,5.0,-inf,171.445832119,326.087115899,421.543136046,370.683863626
0,0.482202058619,5.0,-519304.0,73.6273160014,146.751276114,510.0041173,345.025900622
0,0.236712204887,5.0,-572416.0,128.514407464,141.056580809,511.03017046,278.750774716
0,0.463552539337,5.0,-inf,3.03993800974,169.441335796,612.379398825,390.22163886
0,0.485522944317,5.0,-inf,116.756217258,96.6889677407,596.096560932,267.040735713
0,0.376234340752,5.0,-inf,27.8537243483,272.059502176,344.076959623,336.19904789
0,0.229941905364,5.0,-566226.0,60.2599625572,114.027824599,327.013697643,406.388421658
0,0.474150297871,5.0,-643123.0,179.989815383,172.429367849,316.175974833,405.326607767
0,0.207731816038,5.0,-469779.0,83.8773786807,79.815564311,462.740155667,236.868955357
0,0.246924125314,5.0,-529218.0,41.447478652,139.889820762,467.367372136,316.967767667
0,0.356520590229,5.0,-inf,148.871995928,284.652955683,551.765776047,405.11226663
0,0.393531896748,5.0,-inf,65.7530497826,100.723181458,565.840444399,300.667043875
0,0.224802792868,5.0,-inf,100.146622537,187.92705203,518.694337697,301.988891954
0,0.341446489513,5.0,-inf,155.395536746,260.5068443,593.390594604,426.338726178
0,0.419796432089,5.0,-506256.0,92.1297969,151.440651588,422.353295079,421.552743643
0,0.204222867676,5.0,-inf,10.3078591929,196.400479219,561.98577005,453.111383568
0,0.26361422998,5.0,-inf,122.420570511,306.032272498,484.66925555,420.651696476
0,0.242197691835,5.0,-inf,145.167254334,306.081547878,573.12713838,352.51703226
0,0.263801822127,5.0,-inf,54.3550524836,60.3758995234,433.646832467,434.866216275
0,0.317427004815,5.0,-inf,16.865716236,267.521568768,537.038566136,256.688606756
0,0.392911050512,5.0,-inf,176.35040412,233.744179748,470.255326136,272.042507354
0,0.463417981149,5.0,-inf,178.45891759,261.472920395,549.971159052,281.023113737
0,0.42471175035,5.0,-inf,70.5579272628,337.472795564,376.47746927,431.331209135
0,0.250866219515,5.0,-inf,4.40961623388,204.381906075,294.357096683,316.327608273
0,0.420694484046,5.0,-549012.0,70.8286816416,96.0485391275,367.450485296,399.763599742
0,0.484524549945,5.0,-553229.0,100.704660963,108.406664776,357.819191765,438.071405361
0,0.315939156922,5.0,-inf,97.767644607,332.341773365,297.615092693,443.448066063
0,0.253102521745,5.0,-inf,144.103242272,292.832479716,312.012663693,324.06547669
0,0.428833043969,5.0,-501223.0,93.0945148227,76.6288021756,388.577113234,312.16065115
0,0.294474107125,5.0,-inf,16.7123051234,164.930655174,547.983372549,425.645575876
0,0.36698462722,5.0,-inf,48.316405517,65.7397256633,384.889820445,357.611680226
0,0.300009378138,5.0,-inf,158.766278165,322.887065946,400.980489684,386.555601666
0,0.474478494438,5.0,-inf,24.6192926006,314.797617683,453.739807421,252.47658145
0,0.480144067459,5.0,-inf,42.2517676186,310.898181121,352.110734508,307.950639752
0,0.299667007658,5.0,-inf,99.6201684183,251.43458758,380.877194652,415.285530694
0,0.421820667185,5.0,-527591.0,75.6994404301,80.0063670062,332.097916235,233.691676991
0,0.462343291935,5.0,-inf,5.80398078107,150.89420673,547.322046035,401.730402041
0,0.258838946827,5.0,-557377.0,2.28045397498,112.036106857,455.594125163,230.865940105
0,0.475333955131,5.0,-inf,15.0798065312,312.996335601,308.17339805,239.80850311
0,0.44096379334,5.0,-570879.0,84.2716274495,104.826995784,182.501746443,248.301874083
0,0.238930080542,5.0,-583187.0,124.715440476,142.483838331,463.312206528,286.225248005
0,0.280819683081,5.0,-inf,173.01016254,331.628479216,553.112270702,261.033177431
0,0.486621312953,5.0,-636832.0,90.1163023188,187.340814004,496.605181083,288.535478988
0,0.401714747164,5.0,-464925.0,117.315183525,90.3555629892,479.166815457,328.139391962
0,0.274938713974,5.0,-616460.0,87.1193707775,160.628560883,390.74775554,305.518114453
0,0.244000978553,5.0,-inf,8.7698554566,38.4009933948,449.218611521,369.295719728
