,aspect_ratio,fluxinit,lnprob,rotation_angle,size,xcenter,ycenter
0,0.429878871635,5.0,-582070.0,84.1115751297,130.004994714,379.814840268,449.964219912
0,0.376402826466,5.0,-inf,80.1552997153,242.45270659,322.521045193,420.865923428
0,0.428125054254,5.0,-inf,229.813040369,255.641044911,485.453047038,417.190177928
0,0.326181914541,5.0,-inf,289.087474496,335.766077314,613.417986818,228.532721394
0,0.268085104071,5.0,-inf,34.8123175723,270.675730363,325.526525455,236.676065
0,0.415863278944,5.0,-612969.0,143.825195107,193.431827972,443.31110077,422.10048153
0,0.496875517897,5.0,-inf,76.8070021453,79.1147200408,551.50774758,307.475570165
0,0.216903162468,5.0,-inf,189.899150249,334.939008574,596.142040707,420.335320989
0,0.394985916169,5.0,-596854.0,296.515581184,121.234545233,377.058709131,223.662497867
0,0.475626605577,5.0,-547419.0,137.536407639,96.9437986228,392.454730233,213.303444862
0,0.214539137724,5.0,-469775.0,60.7577370907,93.249854472,412.737353043,300.145602365
0,0.302946871588,5.0,-inf,355.370692125,100.610288833,555.717677423,342.831955224
0,0.489206593429,5.0,-inf,356.566700354,294.418990534,418.565234118,225.088527553
0,0.252706092879,5.0,-inf,102.706775111,39.2004647271,394.980941488,443.097947256
0,0.384678876299,5.0,-inf,128.760064486,64.176669496,614.195162626,358.516555275
0,0.320190167546,5.0,-584923.0,134.455293971,166.935805,454.455382434,408.706854201
0,0.224579186336,5.0,-inf,3.71120071612,45.8346809262,481.857022318,257.105870035
0,0.328641228958,5.0,-inf,333.009336709,146.051277775,521.718777641,390.375788936
0,0.242329979405,5.0,-577031.0,77.4160025982,178.258420129,499.31850411,267.540205876
0,0.376770725357,5.0,-inf,223.559329654,225.595694853,494.363079733,427.052002467
0,0.339936418417,5.0,-490621.0,259.260395374,79.064969772,500.385146452,273.024430086
0,0.350063407583,5.0,-inf,199.908447933,38.159426326,504.585390052,437.994832377
0,0.476068394235,5.0,-inf,90.8319066131,227.771078923,503.371869118,459.544161593
0,0.226049851588,5.0,-inf,312.848169294,305.144969135,342.957747364,274.416118751
0,0.324390788028,5.0,-inf,215.222470267,224.915077529,372.648273751,360.056343551
0,0.20521913316,5.0,-inf,269.638481436,331.981135719,540.832407877,266.762720057
0,0.348914032456,5.0,-inf,172.288711583,58.9370578674,475.261104074,238.298226543
0,0.404695916432,5.0,-608280.0,55.0674595997,195.979869978,445.298217761,383.106884556
0,0.497730628658,5.0,-431542.0,244.205696814,82.9051661811,507.800593492,383.645296038
0,0.410615703634,5.0,-475890.0,286.762330513,101.005322511,495.700137523,328.322924347
0,0.445549140137,5.0,-477518.0,195.492679326,83.6936606645,508.541724651,434.56660348
0,0.29073738282,5.0,-inf,251.972239346,242.015035745,521.223104444,284.843247362
0,0.313269207381,5.0,-693348.0,182.90597706,181.498186087,489.395254739,407.376057977
0,0.327983628659,5.0,-inf,25.016429558,289.519946173,294.380915002,295.096000842
0,0.291454956685,5.0,-inf,243.91996527,283.846396268,476.038041897,389.269407413
0,0.320931045084,5.0,-inf,4.563919571,54.5207369913,548.641305858,238.358340622
0,0.252381806872,5.0,-516331.0,315.781134403,75.7617990856,343.166074107,383.725983277
0,0.287598314803,5.0,-526443.0,54.6248277347,92.3365313761,386.258288072,455.551068753
0,0.310695207476,5.0,-inf,44.7902098663,252.469531558,499.351926476,432.341832272
0,0.300551279822,5.0,-inf,125.400236899,49.6134207444,389.591904116,274.646843597
0,0.358896605111,5.0,-inf,106.586360507,235.792060393,303.005499838,298.835774496
0,0.358774331471,5.0,-inf,156.360395882,330.537798387,592.47278406,248.52526352
0,0.26650292769,5.0,-inf,229.656073016,209.280012224,288.894816101,381.974298266
0,0.438850273203,5.0,-547728.0,304.623331737,114.852994637,392.568841296,334.6892478
0,0.475530494679,5.0,-581493.0,39.4607340987,104.445010727,289.339488544,320.177913681
0,0.401355688172,5.0,-594042.0,115.069473659,138.590509526,362.704555483,377.517797196
0,0.426314771817,5.0,-677171.0,103.992652295,192.866590524,466.938802535,267.31034794
0,0.243082257408,5.0,-inf,77.2647994934,149.601835187,596.928074982,442.261433208
0,0.41760495543,5.0,-inf,317.254539076,246.403759924,377.126937819,253.249687021
0,0.425094799937,5.0,-inf,59.441187976,339.586799541,332.699132113,263.479510255
0,0.470082369547,5.0,-inf,294.435760128,209.156365168,345.911833109,385.657953761
0,0.3255043394,5.0,-inf,192.131004403,245.642787357,319.472186226,335.723317404
0,0.229268493797,5.0,-inf,54.6315351449,306.932289287,291.605622951,371.276859787
0,0.45478744913,5.0,-inf,125.864981344,102.096863936,606.067468168,268.361628154
0,0.410362634314,5.0,-inf,38.4027105098,49.7525950744,537.522988656,458.730985274
0,0.481395287425,5.0,-inf,51.7501402947,255.930590816,388.216600909,445.956516261
0,0.245252342294,5.0,-inf,5.7117889365,212.917697095,468.042145716,279.065790963
0,0.401873237533,5.0,-inf,59.4027615447,278.562753139,294.733543205,282.174204805
0,0.334810892261,5.0,-inf,239.705026691,324.623784069,389.531543284,228.047091666
0,0.233471395824,5.0,-542583.0,227.960476853,101.30889045,484.569968375,71.7279759371
0,0.231843596468,5.0,-inf,16.4706554422,254.512867906,310.050877033,336.333032994
0,0.40502617483,5.0,-506319.0,168.491252813,81.837121381,389.004765176,272.240495887
0,0.336945297777,5.0,-inf,260.731664259,290.473488228,529.747057898,291.48124022
0,0.446756871762,5.0,-inf,179.729072072,267.336683761,436.198019931,382.712115191
0,0.456786947522,5.0,-inf,66.7198717056,51.9469747553,342.875492061,453.410421359
0,0.341553465571,5.0,-544481.0,228.692262105,96.3138506385,338.904730658,238.069467622
0,0.206303872408,5.0,-inf,244.402677735,287.649041209,306.917170846,292.221008819
0,0.317071909095,5.0,-599791.0,31.7599005193,137.12264707,303.717844744,266.452538292
0,0.497080065672,5.0,-502888.0,71.7056054726,110.727531706,477.81278182,256.693687561
0,0.26331765105,5.0,-551747.0,51.7110968247,140.060664372,468.276261278,268.139300546
0,0.494813950465,5.0,-643533.0,301.986115181,185.470659145,460.270334917,370.450470995
0,0.253986696149,5.0,-inf,308.467057987,245.421795262,380.47018704,354.384260061
0,0.372947632774,5.0,-inf,250.436053012,298.697116678,313.975447154,360.90511947
0,0.250242540997,5.0,-inf,170.673809704,325.284479828,513.917473085,247.580226376
0,0.346039328106,5.0,-inf,177.080503983,234.466972707,617.808946551,385.671509809
0,0.464381826064,5.0,-544947.0,252.592236505,90.1282066644,326.250005139,423.001666709
0,0.371433157469,5.0,-713818.0,128.413987251,193.941534707,324.43485209,384.823037737
