,aspect_ratio,fluxinit,lnprob,rotation_angle,size,xcenter,ycenter
0,0.429518595352,9.0,-429282.0,142.907876284,112.839109332,390.934237373,289.811312797
0,0.377434881754,9.0,-356031.0,23.537902977,122.956768808,544.682190451,449.63165507
0,0.360031620038,9.0,-356679.0,44.526553362,95.9569381832,521.845163314,297.18057053
0,0.317004732469,9.0,-457146.0,47.3540578207,144.438308321,507.795002994,315.688175899
0,0.329327927558,9.0,-364860.0,119.977729841,105.862965222,561.713869585,435.290063885
0,0.232552983152,9.0,-305892.0,116.319791382,91.1513021268,540.046313784,388.190434632
0,0.450214211446,9.0,-451917.0,171.262945738,132.452345191,551.142403841,368.390126309
0,0.277082352751,9.0,-298377.0,31.4566550359,101.156510405,556.115034695,393.961614463
0,0.379143865751,9.0,-401346.0,80.1255389056,108.782743282,555.227905637,361.154395879
0,0.394308318481,9.0,-426222.0,8.77426620485,121.106559041,388.228517065,386.180889927
0,0.411528931416,9.0,-343575.0,93.1893443948,103.803217153,525.80406855,295.636147782
0,0.340814680702,9.0,-419040.0,23.617756164,135.41481965,519.0468403,384.239438412
0,0.227028884268,9.0,-226611.0,81.5938354133,91.9482218741,490.551536585,303.586551222
0,0.365234827245,9.0,-365193.0,41.7970653452,144.651123354,453.357839601,357.86777145
0,0.351265940621,9.0,-209970.0,61.9400996473,135.597365204,491.085461463,362.672677508
0,0.342069724952,9.0,-310275.0,159.886887146,85.8385715881,529.893662332,428.852428129
0,0.327139117319,9.0,-615780.0,19.468570794,139.183806389,546.584640261,262.041363847
0,0.335618490797,9.0,-316368.0,26.5755160545,109.085039884,552.450617472,387.485254336
0,0.335031651341,9.0,-171459.0,84.3866092017,108.009846757,462.816692424,399.402472708
0,0.246063507727,9.0,-500661.0,19.3001274248,118.127425319,382.364434244,430.511113991
0,0.30802138496,9.0,-308250.0,1.17011307007,84.4209724898,397.864537518,361.259842327
0,0.391304913812,9.0,-407970.0,148.401068203,124.573193263,493.641751415,413.544466033
0,0.20579921374,9.0,-543303.0,175.771718201,130.132085423,469.128446321,279.882433197
0,0.436970814667,9.0,-421524.0,14.7884604506,119.332512608,528.447212147,287.157985202
0,0.353183480232,9.0,-262530.0,33.9911223074,109.668826927,440.221250273,305.102784881
0,0.301207078398,9.0,-296010.0,8.29839533947,91.9964037694,485.417402052,319.950340507
0,0.306435658536,9.0,-323991.0,139.034741854,100.793263595,454.643963467,424.321837767
0,0.383071877134,9.0,-123471.0,50.7088628972,93.6656498394,463.003119274,339.235952689
0,0.264331199723,9.0,-547758.0,12.2185304144,139.853709054,375.889123051,378.089294613
0,0.357833821773,9.0,-222534.0,99.3692311046,89.9515877009,451.343737698,336.801620479
0,0.389722606745,9.0,-459522.0,137.066260667,141.692919483,500.935527396,389.849450685
0,0.409830402787,9.0,-318078.0,169.171481529,81.7165387786,428.737187919,434.920054778
0,0.348889126989,9.0,-444546.0,58.6642297202,104.890544356,376.798868703,321.271876355
0,0.456909919873,9.0,-439938.0,159.397021385,129.020926303,424.189978592,417.367637901
0,0.522132687392,9.0,-253944.0,21.9264713318,84.5068328082,443.816134303,393.039797179
0,0.367109954485,9.0,-509535.0,173.308137899,136.594076323,459.363789838,421.673806045
0,0.242867976493,9.0,-534366.0,19.2563571279,128.101806091,393.170212148,442.194218826
0,0.267314186331,9.0,-362844.0,100.299598253,105.271435499,558.220156483,408.988815187
0,0.235018628901,9.0,-467208.0,33.7123899976,114.082392565,398.680577225,418.399107401
0,0.243366425054,9.0,-360252.0,169.949022227,100.347999644,428.456527893,350.870211709
0,0.449742645983,9.0,-335205.0,106.924300197,124.182608391,531.420621813,418.77901699
0,0.34007992227,9.0,-357021.0,157.425574448,107.31192367,481.45529851,343.793746297
0,0.365445242912,9.0,-566847.0,84.8756362783,133.921761319,376.194770202,258.492497276
0,0.394830882609,9.0,-210069.0,103.84748684,93.528788096,481.605183826,400.792062477
0,0.373995619917,9.0,-121392.0,55.2770452304,107.590649371,478.940362855,346.343030934
0,0.458604102247,9.0,-282474.0,40.6496413946,101.944438987,467.433600832,432.216416368
0,0.324079892123,9.0,-365166.0,77.0987824909,141.099749519,425.116045222,345.207899966
0,0.451593096146,9.0,-399645.0,44.0546476138,83.6797927868,375.543094185,357.802048772
0,0.229461619959,9.0,-188028.0,62.4747108012,105.075406394,453.487631343,372.322642924
0,0.473582385815,9.0,-248697.0,84.5685916361,115.850973123,438.74250835,357.861137442
0,0.470442962559,9.0,-529245.0,64.7530355656,143.611009944,525.203721367,282.882573789
0,0.353407764989,9.0,-411903.0,77.4528933718,136.402092076,515.170909186,299.636982338
0,0.471061568051,9.0,-326061.0,147.137603772,100.497565742,435.001639348,429.33213474
