,aspect_ratio,fluxinit,lnprob,rotation_angle,size,xcenter,ycenter
0,0.2,0.6,-16915.2,140.927176408,100.0,449.820002924,321.945752303
0,0.2,0.6,-17007.0,150.917374754,100.0,449.820002924,321.945752303
0,0.2,0.6,-16883.4,139.497050106,100.0,449.820002924,321.945752303
0,0.2,0.6,-13556.4,69.0376666233,100.0,449.820002924,321.945752303
0,0.2,0.6,-16224.0,119.554367152,100.0,449.820002924,321.945752303
0,0.2,0.6,-16909.8,141.006854796,100.0,449.820002924,321.945752303
0,0.2,0.6,-15049.8,100.272132376,100.0,449.820002924,321.945752303
0,0.2,0.6,-13552.8,70.029423161,100.0,449.820002924,321.945752303
0,0.2,0.6,-15885.0,112.745214692,100.0,449.820002924,321.945752303
0,0.2,0.6,-16824.0,179.219945689,100.0,449.820002924,321.945752303
0,0.2,0.6,-13757.4,60.0633059293,100.0,449.820002924,321.945752303
0,0.2,0.6,-15701.4,27.6728754632,100.0,449.820002924,321.945752303
0,0.2,0.6,-16188.0,19.0629222502,100.0,449.820002924,321.945752303
0,0.2,0.6,-13616.4,63.939316616,100.0,449.820002924,321.945752303
0,0.2,0.6,-14867.4,43.0444961267,100.0,449.820002924,321.945752303
0,0.2,0.6,-16246.8,119.874016579,100.0,449.820002924,321.945752303
0,0.2,0.6,-14128.8,86.8245044203,100.0,449.820002924,321.945752303
0,0.2,0.6,-13772.4,59.4744400574,100.0,449.820002924,321.945752303
0,0.2,0.6,-15658.2,28.2521206133,100.0,449.820002924,321.945752303
0,0.2,0.6,-16937.4,168.741362319,100.0,449.820002924,321.945752303
0,0.2,0.6,-16998.6,158.193555941,100.0,449.820002924,321.945752303
0,0.2,0.6,-15840.6,25.7143650159,100.0,449.820002924,321.945752303
0,0.2,0.6,-13555.2,68.5175564496,100.0,449.820002924,321.945752303
0,0.2,0.6,-15515.4,30.6977863044,100.0,449.820002924,321.945752303
0,0.2,0.6,-16961.4,166.575185411,100.0,449.820002924,321.945752303
0,0.2,0.6,-16962.0,144.532617003,100.0,449.820002924,321.945752303
0,0.2,0.6,-16066.2,21.3322253756,100.0,449.820002924,321.945752303
0,0.2,0.6,-16881.0,138.97807491,100.0,449.820002924,321.945752303
0,0.2,0.6,-16869.0,175.658078736,100.0,449.820002924,321.945752303
0,0.2,0.6,-16654.2,128.775687308,100.0,449.820002924,321.945752303
0,0.2,0.6,-13663.2,72.253459375,100.0,449.820002924,321.945752303
0,0.2,0.6,-13813.8,77.6741447948,100.0,449.820002924,321.945752303
0,0.2,0.6,-13875.0,80.9260520306,100.0,449.820002924,321.945752303
0,0.2,0.6,-15813.0,111.584494415,100.0,449.820002924,321.945752303
0,0.2,0.6,-16129.8,20.0715661346,100.0,449.820002924,321.945752303
0,0.2,0.6,-15861.0,112.248056939,100.0,449.820002924,321.945752303
0,0.2,0.6,-15075.6,38.9644704073,100.0,449.820002924,321.945752303
0,0.2,0.6,-13838.4,78.2013862281,100.0,449.820002924,321.945752303
0,0.2,0.6,-16884.6,139.043665961,100.0,449.820002924,321.945752303
0,0.2,0.6,-16861.8,138.32575704,100.0,449.820002924,321.945752303
0,0.2,0.6,-15451.8,31.5358167152,100.0,449.820002924,321.945752303
0,0.2,0.6,-13628.4,63.7585362684,100.0,449.820002924,321.945752303
0,0.2,0.6,-16897.2,174.628204942,100.0,449.820002924,321.945752303
0,0.2,0.6,-17009.4,154.158985186,100.0,449.820002924,321.945752303
0,0.2,0.6,-16876.2,175.363995908,100.0,449.820002924,321.945752303
0,0.2,0.6,-16325.4,15.9259826072,100.0,449.820002924,321.945752303
0,0.2,0.6,-13830.0,58.4632897632,100.0,449.820002924,321.945752303
0,0.2,0.6,-14281.8,54.2661179442,100.0,449.820002924,321.945752303
0,0.2,0.6,-15435.6,31.8907837536,100.0,449.820002924,321.945752303
0,0.2,0.6,-13813.2,76.9545085108,100.0,449.820002924,321.945752303
0,0.2,0.6,-16924.2,141.502391268,100.0,449.820002924,321.945752303
0,0.2,0.6,-13686.0,72.7565893556,100.0,449.820002924,321.945752303
0,0.2,0.6,-14512.2,49.6521227603,100.0,449.820002924,321.945752303
0,0.2,0.6,-16544.4,9.54653145788,100.0,449.820002924,321.945752303
0,0.2,0.6,-15762.6,110.689856092,100.0,449.820002924,321.945752303
0,0.2,0.6,-16458.6,12.5549568977,100.0,449.820002924,321.945752303
0,0.2,0.6,-13716.6,73.5771236889,100.0,449.820002924,321.945752303
0,0.2,0.6,-14811.6,96.9883032144,100.0,449.820002924,321.945752303
0,0.2,0.6,-15232.8,35.1452387135,100.0,449.820002924,321.945752303
0,0.2,0.6,-13875.6,81.0111937174,100.0,449.820002924,321.945752303
0,0.2,0.6,-15937.2,113.803259553,100.0,449.820002924,321.945752303
0,0.2,0.6,-13646.4,72.1693761169,100.0,449.820002924,321.945752303
0,0.2,0.6,-14742.0,45.0198104308,100.0,449.820002924,321.945752303
0,0.2,0.6,-13735.8,61.0116758863,100.0,449.820002924,321.945752303
0,0.2,0.6,-16954.8,168.211684874,100.0,449.820002924,321.945752303
0,0.2,0.6,-16711.2,130.884779201,100.0,449.820002924,321.945752303
0,0.2,0.6,-15857.4,112.175306918,100.0,449.820002924,321.945752303
0,0.2,0.6,-16723.8,131.690536648,100.0,449.820002924,321.945752303
0,0.2,0.6,-16089.6,20.6689123672,100.0,449.820002924,321.945752303
0,0.2,0.6,-16767.6,2.21716070444,100.0,449.820002924,321.945752303
0,0.2,0.6,-16829.4,178.61088326,100.0,449.820002924,321.945752303
0,0.2,0.6,-13806.6,76.4601074811,100.0,449.820002924,321.945752303
0,0.2,0.6,-16914.6,141.305350148,100.0,449.820002924,321.945752303
0,0.2,0.6,-17013.6,154.580031303,100.0,449.820002924,321.945752303
0,0.2,0.6,-16978.2,146.190468412,100.0,449.820002924,321.945752303
0,0.2,0.6,-16899.6,173.889141803,100.0,449.820002924,321.945752303
0,0.2,0.6,-16195.2,119.048662457,100.0,449.820002924,321.945752303
0,0.2,0.6,-16476.0,123.90232802,100.0,449.820002924,321.945752303
0,0.2,0.6,-16946.4,168.828929307,100.0,449.820002924,321.945752303
0,0.2,0.6,-15259.2,103.727219957,100.0,449.820002924,321.945752303
0,0.2,0.6,-13563.0,66.84768772,100.0,449.820002924,321.945752303
0,0.2,0.6,-14404.2,52.3828808431,100.0,449.820002924,321.945752303
0,0.2,0.6,-13747.8,60.3122125663,100.0,449.820002924,321.945752303
0,0.2,0.6,-13918.2,82.6105406102,100.0,449.820002924,321.945752303
0,0.2,0.6,-13837.8,78.1394883191,100.0,449.820002924,321.945752303
0,0.2,0.6,-16920.6,172.286775057,100.0,449.820002924,321.945752303
0,0.2,0.6,-15282.6,34.3220495151,100.0,449.820002924,321.945752303
0,0.2,0.6,-16501.2,11.0595107862,100.0,449.820002924,321.945752303
0,0.2,0.6,-14913.0,42.1020236811,100.0,449.820002924,321.945752303
0,0.2,0.6,-14631.6,47.1657505996,100.0,449.820002924,321.945752303
0,0.2,0.6,-16923.0,141.840231613,100.0,449.820002924,321.945752303
0,0.2,0.6,-16453.2,123.545662897,100.0,449.820002924,321.945752303
0,0.2,0.6,-14907.0,98.1249063471,100.0,449.820002924,321.945752303
0,0.2,0.6,-16861.2,176.637422439,100.0,449.820002924,321.945752303
0,0.2,0.6,-16933.8,142.758460228,100.0,449.820002924,321.945752303
0,0.2,0.6,-16995.0,148.037763645,100.0,449.820002924,321.945752303
0,0.2,0.6,-16978.8,146.099388937,100.0,449.820002924,321.945752303
0,0.2,0.6,-15135.6,101.721142792,100.0,449.820002924,321.945752303
0,0.2,0.6,-13669.8,72.4557963297,100.0,449.820002924,321.945752303
0,0.2,0.6,-13564.2,67.7227599238,100.0,449.820002924,321.945752303
0,0.2,0.6,-13596.6,71.4542249593,100.0,449.820002924,321.945752303
0,0.2,0.6,-16255.8,120.105250783,100.0,449.820002924,321.945752303
0,0.2,0.6,-16505.4,11.0046357302,100.0,449.820002924,321.945752303
0,0.2,0.6,-13564.2,70.5231212055,100.0,449.820002924,321.945752303
0,0.2,0.6,-16989.6,146.622713324,100.0,449.820002924,321.945752303
0,0.2,0.6,-16390.2,14.6366375282,100.0,449.820002924,321.945752303
0,0.2,0.6,-15358.8,105.241759363,100.0,449.820002924,321.945752303
0,0.2,0.6,-13872.0,80.3524732148,100.0,449.820002924,321.945752303
0,0.2,0.6,-16240.8,18.1172467748,100.0,449.820002924,321.945752303
0,0.2,0.6,-15190.8,102.643016421,100.0,449.820002924,321.945752303
0,0.2,0.6,-15803.4,111.362758228,100.0,449.820002924,321.945752303
0,0.2,0.6,-16854.0,176.474176759,100.0,449.820002924,321.945752303
0,0.2,0.6,-16969.8,165.41511997,100.0,449.820002924,321.945752303
0,0.2,0.6,-14378.4,52.7662993146,100.0,449.820002924,321.945752303
0,0.2,0.6,-16913.4,171.673949483,100.0,449.820002924,321.945752303
0,0.2,0.6,-13701.6,62.4025324772,100.0,449.820002924,321.945752303
0,0.2,0.6,-16095.0,20.6149050145,100.0,449.820002924,321.945752303
0,0.2,0.6,-14805.0,44.0367915726,100.0,449.820002924,321.945752303
0,0.2,0.6,-14182.2,87.7290194834,100.0,449.820002924,321.945752303
0,0.2,0.6,-14287.8,54.1503824185,100.0,449.820002924,321.945752303
0,0.2,0.6,-13923.0,82.9583772109,100.0,449.820002924,321.945752303
0,0.2,0.6,-15165.6,36.6157095056,100.0,449.820002924,321.945752303
0,0.2,0.6,-13824.0,77.7363784192,100.0,449.820002924,321.945752303
0,0.2,0.6,-15966.0,114.289030878,100.0,449.820002924,321.945752303
0,0.2,0.6,-16765.8,133.257958596,100.0,449.820002924,321.945752303
0,0.2,0.6,-14910.0,98.2450132433,100.0,449.820002924,321.945752303
0,0.2,0.6,-16054.8,21.6045162731,100.0,449.820002924,321.945752303
0,0.2,0.6,-13824.0,77.4293356158,100.0,449.820002924,321.945752303
0,0.2,0.6,-16665.0,129.215708373,100.0,449.820002924,321.945752303
0,0.2,0.6,-16984.8,147.416853443,100.0,449.820002924,321.945752303
0,0.2,0.6,-16883.4,139.497050106,100.0,449.820002924,321.945752303
0,0.2,0.6,-13556.4,69.0376666233,100.0,449.820002924,321.945752303
0,0.2,0.6,-16186.8,118.809561448,100.0,449.820002924,321.945752303
0,0.2,0.6,-16909.8,141.006854796,100.0,449.820002924,321.945752303
0,0.2,0.6,-15049.2,100.2626949,100.0,449.820002924,321.945752303
0,0.2,0.6,-13552.8,70.029423161,100.0,449.820002924,321.945752303
0,0.2,0.6,-15885.0,112.745214692,100.0,449.820002924,321.945752303
0,0.2,0.6,-16824.0,179.219945689,100.0,449.820002924,321.945752303
0,0.2,0.6,-13560.6,67.4615674589,100.0,449.820002924,321.945752303
0,0.2,0.6,-15232.2,35.0846567671,100.0,449.820002924,321.945752303
0,0.2,0.6,-16188.0,19.0629222502,100.0,449.820002924,321.945752303
0,0.2,0.6,-13616.4,63.939316616,100.0,449.820002924,321.945752303
0,0.2,0.6,-14867.4,43.0444961267,100.0,449.820002924,321.945752303
0,0.2,0.6,-14613.0,94.4571008014,100.0,449.820002924,321.945752303
0,0.2,0.6,-14128.8,86.8245044203,100.0,449.820002924,321.945752303
0,0.2,0.6,-13772.4,59.4744400574,100.0,449.820002924,321.945752303
0,0.2,0.6,-15658.2,28.2521206133,100.0,449.820002924,321.945752303
0,0.2,0.6,-16934.4,170.250610058,100.0,449.820002924,321.945752303
0,0.2,0.6,-16998.6,158.193555941,100.0,449.820002924,321.945752303
0,0.2,0.6,-15840.6,25.7143650159,100.0,449.820002924,321.945752303
