,aspect_ratio,fluxinit,lnprob,rotation_angle,size,xcenter,ycenter
0,0.306764267034,60.0,-3761040.0,47.4794188044,115.148537992,604.054491268,168.10978493
0,0.292519118601,60.0,-2771460.0,118.454351682,102.793219557,491.857402269,234.5131329
0,0.459609022003,60.0,-3115380.0,171.200262725,88.8850797236,601.750555929,313.877789772
0,0.22136917146,60.0,-3563100.0,54.0526006912,95.0282954123,431.694818382,201.465716965
0,0.494534935677,60.0,-2935380.0,75.385926966,106.948651474,577.227791802,244.644112946
0,0.374426305702,60.0,-2922720.0,93.7862671603,84.7222834525,600.276467793,290.564904431
0,0.378007211258,60.0,-2984580.0,150.024495798,110.100144474,540.692207283,206.132981899
0,0.493639454643,60.0,-3661620.0,56.8694814008,114.04583234,415.725007035,295.799466875
0,0.263074113967,60.0,-3699480.0,49.0378113925,121.307078912,556.521570865,232.079767407
0,0.451443299076,60.0,-2828640.0,0.19947860515,104.025705822,528.393832616,329.94707024
0,0.427711196817,60.0,-3856740.0,19.8006584752,128.228730193,431.787199543,345.990803999
0,0.472638296267,60.0,-3544680.0,23.0910955598,110.044109061,473.981711597,200.08032915
0,0.3188149343,60.0,-3340740.0,131.800195449,131.406762338,562.616049716,308.953013331
0,0.354821855574,60.0,-3641940.0,39.3497643109,114.197148532,463.661886704,211.561127059
0,0.363789486921,60.0,-2875260.0,71.695838136,86.5398828092,554.138370064,220.988008381
0,0.415008925155,60.0,-3517500.0,28.549679792,102.230848062,464.582850931,198.433150605
0,0.488685503067,60.0,-2755860.0,3.35199371009,81.9598338586,532.901615759,329.195896042
0,0.34154765829,60.0,-2905680.0,1.24795585758,117.074553097,489.70084301,274.630101467
0,0.387641755899,60.0,-3920580.0,42.6970201678,140.638288295,554.791815952,280.244898198
0,0.31829149172,60.0,-2764440.0,130.437507014,106.472214701,524.960930482,312.424437713
0,0.36846032852,60.0,-3817560.0,94.5183222071,127.529761671,432.735848064,336.913592091
0,0.347005351668,60.0,-2940180.0,90.3895000464,88.7591497036,519.430837221,317.76004357
0,0.435170622199,60.0,-3219180.0,117.028990806,134.758308345,555.815518883,194.842898648
0,0.49069806356,60.0,-3094500.0,108.777444477,118.35690358,458.291228327,277.788467449
0,0.256915305489,60.0,-3228180.0,50.002932667,92.5275448937,483.54536583,227.931557267
